cows_alive,Sex,midinterval,SubjectAtRisk,herdID
27,0,5.5,314,1
28,0,17.5,314,1
28,0,29.5,314,1
10,0,41.5,314,1
20,0,53.5,314,1
22,0,65.5,314,1
23,0,77.5,314,1
24,0,89.5,314,1
9,0,101.5,314,1
12,0,113.5,314,1
10,0,125.5,314,1
11,0,156,314,1
18,0,5.5,228,2
12,0,17.5,228,2
18,0,29.5,228,2
20,0,41.5,228,2
6,0,53.5,228,2
11,0,65.5,228,2
12,0,77.5,228,2
8,0,89.5,228,2
15,0,101.5,228,2
9,0,113.5,228,2
16,0,125.5,228,2
4,0,156,228,2
12,0,5.5,102,3
3,0,17.5,102,3
10,0,29.5,102,3
4,0,41.5,102,3
7,0,53.5,102,3
3,0,65.5,102,3
7,0,77.5,102,3
5,0,89.5,102,3
11,0,101.5,102,3
2,0,113.5,102,3
3,0,125.5,102,3
4,0,156,102,3
12,0,5.5,146,4
11,0,17.5,146,4
15,0,29.5,146,4
9,0,41.5,146,4
8,0,53.5,146,4
12,0,65.5,146,4
9,0,77.5,146,4
9,0,89.5,146,4
8,0,101.5,146,4
3,0,113.5,146,4
3,0,125.5,146,4
5,0,156,146,4
15,0,5.5,130,5
14,0,17.5,130,5
9,0,29.5,130,5
6,0,41.5,130,5
6,0,53.5,130,5
18,0,65.5,130,5
12,0,77.5,130,5
5,0,89.5,130,5
9,0,101.5,130,5
2,0,113.5,130,5
5,0,125.5,130,5
1,0,156,130,5
9,0,5.5,184,6
13,0,17.5,184,6
23,0,29.5,184,6
10,0,41.5,184,6
5,0,53.5,184,6
4,0,65.5,184,6
5,0,77.5,184,6
15,0,89.5,184,6
15,0,101.5,184,6
8,0,113.5,184,6
3,0,125.5,184,6
1,0,137.5,184,6
9,0,5.5,115,7
8,0,17.5,115,7
7,0,29.5,115,7
10,0,41.5,115,7
10,0,53.5,115,7
11,0,65.5,115,7
9,0,77.5,115,7
3,0,89.5,115,7
4,0,101.5,115,7
3,0,113.5,115,7
8,0,125.5,115,7
1,0,137.5,115,7
1,0,156,115,7
18,0,5.5,95,8
6,0,17.5,95,8
5,0,29.5,95,8
10,0,41.5,95,8
6,0,53.5,95,8
9,0,65.5,95,8
5,0,77.5,95,8
1,0,89.5,95,8
1,0,101.5,95,8
2,0,113.5,95,8
3,0,125.5,95,8
1,0,156,95,8
7,0,5.5,74,9
3,0,17.5,74,9
3,0,29.5,74,9
8,0,41.5,74,9
5,0,53.5,74,9
7,0,65.5,74,9
4,0,77.5,74,9
4,0,89.5,74,9
3,0,101.5,74,9
1,0,113.5,74,9
2,0,125.5,74,9
1,0,137.5,74,9
1,0,149.5,74,9
0,0,161.5,74,9
1,0,173.5,74,9
2,0,186,74,9
29,0,5.5,273,10
25,0,17.5,273,10
19,0,29.5,273,10
15,0,41.5,273,10
22,0,53.5,273,10
24,0,65.5,273,10
16,0,77.5,273,10
14,0,89.5,273,10
16,0,101.5,273,10
12,0,113.5,273,10
13,0,125.5,273,10
1,0,137.5,273,10
3,0,149.5,273,10
1,0,162,273,10
9,0,5.5,97,11
4,0,17.5,97,11
6,0,29.5,97,11
3,0,41.5,97,11
11,0,53.5,97,11
13,0,65.5,97,11
10,0,77.5,97,11
5,0,89.5,97,11
4,0,101.5,97,11
2,0,113.5,97,11
2,0,125.5,97,11
3,0,5.5,119,12
11,0,17.5,119,12
8,0,29.5,119,12
1,0,41.5,119,12
6,0,53.5,119,12
9,0,65.5,119,12
10,0,77.5,119,12
10,0,89.5,119,12
5,0,101.5,119,12
7,0,113.5,119,12
2,0,125.5,119,12
2,0,137.5,119,12
0,0,149.5,119,12
1,0,161.5,119,12
58,0,6,871,13
60,0,18,871,13
72,0,30,871,13
70,0,42,871,13
71,0,54,871,13
62,0,66,871,13
45,0,78,871,13
36,0,90,871,13
27,0,102,871,13
30,0,114,871,13
25,0,126,871,13
31,0,156,871,13
130,0,6,1367,14
123,0,24,1367,14
615,0,108,1367,14
144,0,6,1264,15
267,0,30,1264,15
410,0,114,1264,15
30,1,5.5,314,1
15,1,17.5,314,1
11,1,29.5,314,1
19,1,41.5,314,1
3,1,53.5,314,1
5,1,65.5,314,1
6,1,77.5,314,1
1,1,89.5,314,1
0,1,101.5,314,1
0,1,113.5,314,1
0,1,125.5,314,1
0,1,156,314,1
28,1,5.5,228,2
16,1,17.5,228,2
11,1,29.5,228,2
11,1,41.5,228,2
6,1,53.5,228,2
6,1,65.5,228,2
1,1,77.5,228,2
0,1,89.5,228,2
0,1,101.5,228,2
0,1,113.5,228,2
0,1,125.5,228,2
0,1,156,228,2
13,1,5.5,102,3
1,1,17.5,102,3
7,1,29.5,102,3
5,1,41.5,102,3
3,1,53.5,102,3
1,1,65.5,102,3
1,1,77.5,102,3
0,1,89.5,102,3
0,1,101.5,102,3
0,1,113.5,102,3
0,1,125.5,102,3
0,1,156,102,3
21,1,5.5,146,4
8,1,17.5,146,4
5,1,29.5,146,4
4,1,41.5,146,4
1,1,53.5,146,4
1,1,65.5,146,4
0,1,77.5,146,4
2,1,89.5,146,4
0,1,101.5,146,4
0,1,113.5,146,4
0,1,125.5,146,4
0,1,156,146,4
9,1,5.5,130,5
9,1,17.5,130,5
4,1,29.5,130,5
4,1,41.5,130,5
0,1,53.5,130,5
2,1,65.5,130,5
0,1,77.5,130,5
0,1,89.5,130,5
0,1,101.5,130,5
0,1,113.5,130,5
0,1,125.5,130,5
0,1,156,130,5
27,1,5.5,184,6
18,1,17.5,184,6
13,1,29.5,184,6
9,1,41.5,184,6
4,1,53.5,184,6
1,1,65.5,184,6
1,1,77.5,184,6
0,1,89.5,184,6
0,1,101.5,184,6
0,1,113.5,184,6
0,1,125.5,184,6
0,1,137.5,184,6
14,1,5.5,115,7
6,1,17.5,115,7
4,1,29.5,115,7
2,1,41.5,115,7
2,1,53.5,115,7
1,1,65.5,115,7
1,1,77.5,115,7
1,1,89.5,115,7
0,1,101.5,115,7
0,1,113.5,115,7
0,1,125.5,115,7
0,1,137.5,115,7
0,1,156,115,7
20,1,5.5,95,8
7,1,17.5,95,8
1,1,29.5,95,8
0,1,41.5,95,8
0,1,53.5,95,8
0,1,65.5,95,8
0,1,77.5,95,8
0,1,89.5,95,8
0,1,101.5,95,8
0,1,113.5,95,8
0,1,125.5,95,8
0,1,156,95,8
12,1,5.5,74,9
4,1,17.5,74,9
2,1,29.5,74,9
2,1,41.5,74,9
1,1,53.5,74,9
1,1,65.5,74,9
0,1,77.5,74,9
0,1,89.5,74,9
0,1,101.5,74,9
0,1,113.5,74,9
0,1,125.5,74,9
0,1,137.5,74,9
0,1,149.5,74,9
0,1,161.5,74,9
0,1,173.5,74,9
0,1,186,74,9
35,1,5.5,273,10
15,1,17.5,273,10
3,1,29.5,273,10
6,1,41.5,273,10
1,1,53.5,273,10
0,1,65.5,273,10
2,1,77.5,273,10
0,1,89.5,273,10
0,1,101.5,273,10
1,1,113.5,273,10
0,1,125.5,273,10
0,1,137.5,273,10
0,1,149.5,273,10
0,1,162,273,10
9,1,5.5,97,11
9,1,17.5,97,11
5,1,29.5,97,11
2,1,41.5,97,11
2,1,53.5,97,11
1,1,65.5,97,11
0,1,77.5,97,11
0,1,89.5,97,11
0,1,101.5,97,11
0,1,113.5,97,11
0,1,125.5,97,11
15,1,5.5,119,12
16,1,17.5,119,12
6,1,29.5,119,12
4,1,41.5,119,12
0,1,53.5,119,12
0,1,65.5,119,12
3,1,77.5,119,12
0,1,89.5,119,12
0,1,101.5,119,12
0,1,113.5,119,12
0,1,125.5,119,12
0,1,137.5,119,12
0,1,149.5,119,12
0,1,161.5,119,12
56,1,6,871,13
50,1,18,871,13
44,1,30,871,13
47,1,42,871,13
33,1,54,871,13
27,1,66,871,13
11,1,78,871,13
7,1,90,871,13
3,1,102,871,13
2,1,114,871,13
2,1,126,871,13
2,1,156,871,13
130,1,6,1367,14
96,1,24,1367,14
273,1,108,1367,14
144,1,6,1264,15
35,1,30,1264,15
264,1,114,1264,15
